case_id,review_case_kind,pattern_type,economic_asset_class,instrument_id,symbol,date_range_start,date_range_end,source_bar_hash,candidate_id,anchor_date,calibration_version,parameter_set_id,parameter_hash,visualization_path,identity_material_hash,identity_status
review_1b7cff46b823749f9f27,DETECTED_CANDIDATE,double_bottom,EQUITY,IBKR:265598,AAPL,2019-02-08,2019-05-29,39dc4404462f5e33314b83ea2dce5abb63d5a0fcb6dd05441713e7b897bffd4b,pat_9805efacc69676090e3e,,wp-us-double-reversal-development-v1,cal_5935687436cd34fcba41,5935687436cd34fcba41e21dbbfabdeceb0d5348e92abee0343d7de3a8d9b90f,reports/pattern-review/review_1b7cff46b823749f9f27.svg,1b7cff46b823749f9f276b2afceb144a6c95c810a006848cab8d2c91157d0140,VALID
review_1f9adcfc68454ce58932,NEGATIVE_CONTROL_NO_DETECTION,ascending_triangle,FIXED_INCOME,IBKR:15547841,TLT,,2019-09-30,a229b6091c9f4ead506256015da1ed32851f3f614c96a40a520056ec3dd233b7,,2019-09-30,wp-us-ascending-triangle-development-v1,cal_b85671a45db076094e37,b85671a45db076094e37ddb7ec688a59bc71f773ec491237f5780a0cf8c58422,reports/pattern-review/review_1f9adcfc68454ce58932.svg,1f9adcfc68454ce589321a55276ec4e393a1b18514071e2b7a18b645924803a7,VALID
review_20b0d8a772317c006392,NEGATIVE_CONTROL_NO_DETECTION,double_bottom,FIXED_INCOME,IBKR:15547844,IEF,,2020-09-30,e0a7f9d815856bfccd52d7a79efe79f4e6369ddf89baf5c778eea2fed08b8aed,,2020-09-30,wp-us-double-reversal-development-v1,cal_e3b5eabaa54e21136c81,e3b5eabaa54e21136c812bef073e7fc041b0dafd6153b292ca61b43912514aee,reports/pattern-review/review_20b0d8a772317c006392.svg,20b0d8a772317c006392e6981a18c72682c439f405c7eefa22ba719308b8f51e,VALID
review_23f1422afb80010a9aa3,NEGATIVE_CONTROL_NO_DETECTION,rectangle,EQUITY,IBKR:265598,AAPL,,2019-09-30,39dc4404462f5e33314b83ea2dce5abb63d5a0fcb6dd05441713e7b897bffd4b,,2019-09-30,wp-us-rectangle-development-v1,cal_fa2b2f348d54f8d5e3a4,fa2b2f348d54f8d5e3a4d304e8ba35e857dd702994dc37c617f3dea16d13047d,reports/pattern-review/review_23f1422afb80010a9aa3.svg,23f1422afb80010a9aa34f4a0efb8351064650f700287332a5eb841fdc0c22c1,VALID
review_24ee797530a37a1035be,DETECTED_CANDIDATE,breakout,EQUITY,IBKR:8719,JNJ,2019-12-19,2020-02-27,4aa4be3cb3ad52f73f5c75093ad2f35c50e01ddc375ceb26d77a1bef76258733,pat_8eec094aca0532a5ef93,,wp-us-level-break-development-v1,cal_07b52fb1ffb813aedfd4,07b52fb1ffb813aedfd4ab5fc1cee5a50882754eef669cf0bb9d6140e62fbc04,reports/pattern-review/review_24ee797530a37a1035be.svg,24ee797530a37a1035be9d5b4e860684cb42db847729dd5de0017e442d2fad16,VALID
review_25fa041e89e48427ee23,DETECTED_CANDIDATE,rectangle,FIXED_INCOME,IBKR:15547844,IEF,2019-04-10,2019-05-13,e0a7f9d815856bfccd52d7a79efe79f4e6369ddf89baf5c778eea2fed08b8aed,pat_562c40919423ef16092c,,wp-us-rectangle-development-v1,cal_ce0e5f3208eb2439d077,ce0e5f3208eb2439d0777939c406e75ed3eb37fa6bf523aa005adaa9aee9a534,reports/pattern-review/review_25fa041e89e48427ee23.svg,25fa041e89e48427ee23320b6e2023459b09a1f46d5631fb55f3b998ab2adb59,VALID
review_260d7fa088d7d16e026c,NEGATIVE_CONTROL_NO_DETECTION,breakout,FIXED_INCOME,IBKR:15547844,IEF,,2020-09-30,e0a7f9d815856bfccd52d7a79efe79f4e6369ddf89baf5c778eea2fed08b8aed,,2020-09-30,wp-us-level-break-development-v1,cal_77204b512761817cbc2a,77204b512761817cbc2a5e3b3a5e956efac13fe9605639d3f35637422c7d44f6,reports/pattern-review/review_260d7fa088d7d16e026c.svg,260d7fa088d7d16e026cc137110aa21a7403f6c8234db1c215ff610b4980f581,VALID
review_27bf9f65256acea0038a,NEGATIVE_CONTROL_NO_DETECTION,rectangle,EQUITY,IBKR:8719,JNJ,,2020-03-31,4aa4be3cb3ad52f73f5c75093ad2f35c50e01ddc375ceb26d77a1bef76258733,,2020-03-31,wp-us-rectangle-development-v1,cal_fa2b2f348d54f8d5e3a4,fa2b2f348d54f8d5e3a4d304e8ba35e857dd702994dc37c617f3dea16d13047d,reports/pattern-review/review_27bf9f65256acea0038a.svg,27bf9f65256acea0038a779636bb81e2e71aacf203770972360e2b681325314d,VALID
review_27ef742e155ecfa870cb,NEGATIVE_CONTROL_NO_DETECTION,ascending_triangle,EQUITY,IBKR:8719,JNJ,,2020-03-31,4aa4be3cb3ad52f73f5c75093ad2f35c50e01ddc375ceb26d77a1bef76258733,,2020-03-31,wp-us-ascending-triangle-development-v1,cal_b8616363e4acd36e4071,b8616363e4acd36e4071f8813d1c643406fbfd805b37a4b078eb58e04636dc1e,reports/pattern-review/review_27ef742e155ecfa870cb.svg,27ef742e155ecfa870cb9d5737d14df3494401f800817a04a75f99bd0a1036ae,VALID
review_2d4669f4a6e599086c7e,DETECTED_CANDIDATE,double_top,EQUITY,IBKR:272093,MSFT,2019-03-21,2019-04-17,026d08710b6250ee81dc6ac4ae0317a2026e9f08cd871e4cd5047d948eeb82b0,pat_768ef40bd2b540667f06,,wp-us-double-reversal-development-v1,cal_c9e225163e06a8295dc2,c9e225163e06a8295dc2be5096262705ab0d8523d6c3523773c6d9cd8a22da8f,reports/pattern-review/review_2d4669f4a6e599086c7e.svg,2d4669f4a6e599086c7e5a955d719668314d4771e5297d18cdb3f70fa6dc028e,VALID
